iter	Passed	Remaining
466	742	847
467	743	845
468	745	843
469	746	841
470	748	840
471	750	838
472	751	837
473	752	834
474	753	833
475	754	830
476	755	828
477	756	826
478	757	824
479	758	821
480	759	819
481	760	817
482	762	816
483	763	814
484	764	812
485	766	810
486	767	807
487	768	806
488	769	804
489	770	802
490	772	800
491	773	798
492	775	797
493	776	795
494	777	793
495	779	791
496	780	789
497	781	787
498	782	785
499	783	783
500	784	781
501	785	779
502	786	777
503	787	775
504	788	773
505	789	771
506	791	769
507	792	767
508	793	765
509	794	763
510	795	761
511	797	759
512	798	758
513	799	756
514	800	754
515	802	752
516	803	750
517	804	748
518	806	747
519	807	745
520	808	743
521	809	741
522	810	739
523	811	737
524	813	735
525	815	734
526	816	732
527	817	730
528	819	729
529	820	727
530	822	726
531	823	724
532	824	722
533	826	721
534	827	719
535	828	717
536	831	716
537	833	715
538	834	713
539	836	712
540	838	711
541	840	710
542	841	708
543	843	706
544	844	705
545	845	703
546	847	701
547	848	699
548	850	698
549	851	696
550	852	695
551	854	693
552	856	692
553	857	690
554	858	688
555	861	688
556	863	686
557	864	684
558	866	683
559	867	681
560	868	679
561	869	677
562	871	676
563	872	674
564	873	672
565	875	671
566	877	669
567	878	668
568	880	666
569	881	665
570	883	663
571	884	661
572	886	660
573	887	658
574	890	657
575	891	656
576	892	654
577	894	653
578	895	651
579	897	649
580	898	647
581	899	646
582	900	644
583	902	642
584	903	641
585	904	639
586	906	637
587	907	635
588	909	634
589	910	632
590	912	631
591	913	629
592	914	627
593	916	626
594	917	624
595	919	623
596	920	621
597	921	619
598	923	618
599	925	616
600	926	615
601	927	613
602	929	611
603	930	610
604	931	608
605	933	606
606	934	605
607	935	603
608	937	601
609	938	600
610	940	598
611	941	596
612	942	594
613	943	593
614	944	591
615	947	590
616	948	588
617	949	586
618	950	585
619	951	583
620	952	581
621	954	579
622	955	578
623	956	576
624	958	574
625	959	573
626	960	571
627	962	569
628	963	568
629	965	567
630	966	565
631	967	563
632	972	563
633	974	562
634	975	560
635	977	559
636	978	557
637	980	556
638	982	554
639	983	553
640	985	551
641	986	550
642	987	548
643	989	546
644	990	545
645	992	543
646	993	542
647	995	541
648	997	539
649	998	537
650	999	535
651	1000	534
652	1001	532
653	1002	530
654	1004	528
655	1005	527
656	1007	525
657	1008	524
658	1009	522
659	1010	520
660	1012	519
661	1014	517
662	1016	516
663	1017	515
664	1019	513
665	1020	511
666	1022	510
667	1024	509
668	1025	507
669	1028	506
670	1030	505
671	1031	503
672	1032	501
673	1035	500
674	1037	499
675	1041	499
676	1043	497
677	1044	496
678	1046	494
679	1047	493
680	1049	491
681	1052	490
682	1054	489
683	1055	487
684	1058	486
685	1060	485
686	1062	484
687	1064	482
688	1066	481
689	1067	479
690	1068	477
691	1069	476
692	1070	474
693	1071	472
694	1072	470
695	1075	469
696	1077	468
697	1078	466
698	1080	465
699	1082	463
700	1084	462
701	1085	460
702	1087	459
703	1088	457
704	1089	456
705	1091	454
706	1092	452
707	1094	451
708	1095	449
709	1097	448
710	1099	446
711	1100	445
712	1101	443
713	1102	441
714	1105	440
715	1106	439
716	1108	437
717	1110	436
718	1112	434
719	1114	433
720	1117	432
721	1118	430
722	1120	429
723	1123	428
724	1126	427
725	1128	425
726	1129	424
727	1131	422
728	1133	421
729	1135	419
730	1136	418
731	1139	417
732	1140	415
733	1141	413
734	1143	412
735	1144	410
736	1145	408
737	1147	407
738	1148	405
739	1150	404
740	1151	402
741	1152	400
742	1154	399
743	1157	398
744	1158	396
745	1161	395
746	1162	393
747	1163	391
748	1165	390
749	1167	389
750	1168	387
751	1170	385
752	1171	384
753	1173	383
754	1177	381
755	1178	380
756	1180	378
757	1181	377
758	1183	375
759	1185	374
760	1187	372
761	1188	371
762	1190	369
763	1191	368
764	1193	366
765	1197	365
766	1199	364
767	1200	362
768	1204	361
769	1206	360
770	1214	360
771	1216	359
772	1217	357
773	1219	356
774	1220	354
775	1222	352
776	1223	351
777	1224	349
778	1227	348
779	1229	346
780	1230	345
781	1232	343
782	1234	342
783	1235	340
784	1237	338
785	1238	337
786	1239	335
787	1241	333
788	1242	332
789	1244	330
790	1245	329
791	1247	327
792	1248	325
793	1250	324
794	1251	322
795	1253	321
796	1254	319
797	1256	318
798	1257	316
799	1258	314
800	1260	313
801	1262	311
802	1263	309
803	1264	308
804	1265	306
805	1267	304
806	1268	303
807	1269	301
808	1271	300
809	1272	298
810	1273	296
811	1274	295
812	1276	293
813	1277	291
814	1278	290
815	1279	288
816	1281	286
817	1282	285
818	1283	283
819	1284	281
820	1285	280
821	1286	278
822	1288	277
823	1290	275
824	1292	274
825	1293	272
826	1294	270
827	1295	269
828	1296	267
829	1297	265
830	1298	264
831	1299	262
832	1300	260
833	1302	259
834	1303	257
835	1305	256
836	1306	254
837	1307	252
838	1308	251
839	1309	249
840	1311	247
841	1312	246
842	1313	244
843	1313	242
844	1315	241
845	1316	239
846	1319	238
847	1320	236
848	1321	235
849	1322	233
850	1323	231
851	1324	230
852	1325	228
853	1326	226
854	1327	225
855	1328	223
856	1330	221
857	1331	220
858	1333	218
859	1334	217
860	1335	215
861	1336	213
862	1337	212
863	1338	210
864	1339	209
865	1340	207
866	1341	205
867	1343	204
868	1344	202
869	1345	201
870	1347	199
871	1347	197
872	1349	196
873	1350	194
874	1351	193
875	1352	191
876	1353	189
877	1355	188
878	1358	186
879	1360	185
880	1361	183
881	1362	182
882	1364	180
883	1365	179
884	1366	177
885	1367	175
886	1368	174
887	1370	172
888	1371	171
889	1372	169
890	1374	168
891	1375	166
892	1377	165
893	1378	163
894	1380	161
895	1381	160
896	1382	158
897	1384	157
898	1385	155
899	1386	154
900	1387	152
901	1388	150
902	1389	149
903	1390	147
904	1391	146
905	1393	144
906	1394	142
907	1395	141
908	1396	139
909	1397	138
910	1399	136
911	1400	135
912	1401	133
913	1402	131
914	1403	130
915	1405	128
916	1405	127
917	1406	125
918	1408	124
919	1409	122
920	1410	121
921	1411	119
922	1412	117
923	1413	116
924	1414	114
925	1415	113
926	1416	111
927	1417	110
928	1418	108
929	1420	106
930	1421	105
931	1423	103
932	1424	102
933	1425	100
934	1426	99
935	1427	97
936	1428	96
937	1429	94
938	1430	92
939	1431	91
940	1433	89
941	1434	88
942	1435	86
943	1438	85
944	1440	83
945	1440	82
946	1442	80
947	1443	79
948	1444	77
949	1445	76
950	1446	74
951	1447	72
952	1449	71
953	1451	69
954	1452	68
955	1453	66
956	1455	65
957	1456	63
958	1457	62
959	1459	60
960	1460	59
961	1462	57
962	1463	56
963	1465	54
964	1466	53
965	1468	51
966	1469	50
967	1470	48
968	1471	47
969	1473	45
970	1474	44
971	1475	42
972	1476	40
973	1477	39
974	1479	37
975	1480	36
976	1482	34
977	1483	33
978	1484	31
979	1485	30
980	1486	28
981	1487	27
982	1488	25
983	1490	24
984	1491	22
985	1492	21
986	1493	19
987	1494	18
988	1495	16
989	1496	15
990	1498	13
991	1499	12
992	1500	10
993	1502	9
994	1503	7
995	1504	6
996	1505	4
997	1507	3
998	1509	1
999	1512	0
